Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
" What is the government called in the three free states of Bavaria, Saxony, and Thuringia?","['German federal states - IamExpat in Germany | City states, old states, new states and free states Three states - Bavaria, Saxony and Thuringia - also refer to themselves as “free states” (Freistaaten), an old German term for “republic”., free states', 'States of Germany | The governments in Berlin, Bremen and Hamburg are referred to as ""senates"". In the free states of Bavaria and Saxony, the government is referred to as ""state ...', 'Federal States of Germany - deutschland.de | Titles such as “Free State” in the case of Bavaria, Saxony and Thuringia, “Hanseatic City” for Hamburg and “Free Hanseatic City” in the case ...']","Step 1: What is the government called in Bavaria, Germany?
Step 2: What is the government called in Saxony, Germany?
Step 3: What is the government called in Thuringia, Germany?",None,,,"['Politics of Bavaria - Wikipedia | The Bavarian State Government is the supreme executive authority of the state. It consists of the Minister-President of Bavaria and up to 17 state ministers and state secretaries. The Minister-President as head of government is elected for a period of five years by the Landtag.', 'The Free State of Bavaria – Bayerisches Landesportal | The Bavarian Landtag is the parliament of the Free State of Bavaria. It has four major tasks: Formation of the State Government,; Legislation,; Control of the ...', 'Saxony | Landtag of Saxony', 'Landtag of Saxony | The Landtag of Saxony (German: Sächsischer Landtag), also known in English as the Saxon State Parliament, is the legislature of the Free State of Saxony, ...', 'Landtag of Thuringia | The Landtag of Thuringia is the parliament of the German federal state of Thuringia. It convenes in Erfurt and currently consists of 90 members from seven ...', 'German federal states - IamExpat in Germany | City states, old states, new states and free states Three states - Bavaria, Saxony and Thuringia - also refer to themselves as “free states” (Freistaaten), an old German term for “republic”., free states', 'States of Germany | The governments in Berlin, Bremen and Hamburg are referred to as ""senates"". In the free states of Bavaria and Saxony, the government is referred to as ""state ...']",The Bavarian State Government is the supreme executive authority of the state [1]. The Bavarian Landtag is the parliament of the Free State of Bavaria [2].,State Government,['the State Government']
Europeans gained on the Ottoman empire in what type of technology? ,"['Science and technology in the Ottoman Empire | During its 600-year existence, the Ottoman Empire made significant advances in science and technology, in a wide range of fields including mathematics, ...', 'Ottoman Empire Facts | Ottoman Empire, empire created by Turkish tribes that grew to be one of the most powerful states in the world in the 15th and 16th centuries.', 'Legitimacy, Revolt and Technological Change in the Ottoman ... | Ottoman Empire, namely why the Ottomans accepted military technology swiftly, why they ... Ottoman Empire than in western Europe. Özmucur and ...']","Step 1: What technological advancements did the Ottoman Empire make?
Step 2: What technological advancements did Europeans make during the same time period?
Step 3: In what areas did Europeans gain an advantage over the Ottoman Empire in terms of technology?",Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: What technological advancements did the Ottoman Empire make? ANSWER: surgical instruments, mathematics, geography. Step 2: What technological advancements did Europeans make during the same time period? ANSWER: gunpowder, vertical windmills, spectacles, mechanical clocks. Step 3: In what areas did Europeans gain an advantage over the Ottoman Empire in terms of technology?",In what areas did Europeans gain an advantage over the Ottoman Empire in terms of technology?,"['Ottoman Empire Facts | Britannica | Ottomans invented currently used surgical instruments such as forceps, scalpels, and catheters. The capture of Constantinople by the Ottomans caused many scholars to flee to Italy and bring with them knowledge that helped spark the Renaissance., surgical instruments such as forceps, scalpels, and catheters', 'Science and technology in the Ottoman Empire | During its 600-year existence, the Ottoman Empire made significant advances in science and technology, in a wide range of fields including mathematics, ...', 'Medieval technology | The period saw major technological advances, including the adoption of gunpowder, the invention of vertical windmills, spectacles, mechanical clocks, and ...', 'Why Was it Europeans Who Conquered the World? | Here Europe possessed an undeniable comparative and absolute advantage, early on: European states were simply better at making and using artillery, firearms, ...', 'Science and technology in the Ottoman Empire | During its 600-year existence, the Ottoman Empire made significant advances in science and technology, in a wide range of fields including mathematics, ...', 'Ottoman Contributions to Science and Technology | He made contributions in the fields of geography, mathematics, history, military art and calligraphy and produced important books. He also ...', 'The Technologies That Helped Expand Europes Empires | Advancements in technology clearly had a significant part to play in facilitating European colonial expansion through the acquisition of ...']","Europeans gained an advantage in military technology, including artillery and firearms, which allowed for colonial expansion. This is supported by the article ""Why Was it Europeans Who Conquered the World?"" [4].",military technology,['military technology']
What island is present in Plymouth Sound?,"[""Historic Visitor Attraction in Plymouth, Devon | Drake's Island | The Jewel in Plymouth Sound Step on to Drake's Island for one of the most unique and interesting guided tours in Plymouth and throughout the South West. Learn all about the history and the mysteries surrounding the island., Drake's Island"", 'Plymouth Sound | Plymouth Sound, or locally just The Sound, is a deep inlet or sound in the English Channel near Plymouth in England.', ""Drake's Island | Drake's Island is a 6.5-acre (2.6-hectare) island lying in Plymouth Sound, the stretch of water south of the city of Plymouth, Devon.""]","Step 1: What is the name of the island in Plymouth Sound?
Step 2: Where is Drake's Island located?
Step 3: What is the size of Drake's Island?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the island in Plymouth Sound? ANSWER: Drake's Island. Step 2: Where is Drake's Island located?,Where is Drake's Island located?,"[""Drake's Island - Wikipedia | Drake's Island is a 6.5-acre (2.6-hectare) island lying in Plymouth Sound, the stretch of water south of the city of Plymouth, Devon. The rocks which make up the island are volcanic tuff and lava, together with marine limestone of the Devonian period. For more than 400 years the island was fortified."", ""The Island's history, legends & myths | Situated in Plymouth Sound between Plymouth and the Cornish Coast, the Island started life some 400 million years ago as the fossilised remains of marine ..."", ""Drake's Island | Drake's Island is a 6.5-acre (2.6-hectare) island lying in Plymouth Sound, the stretch of water south of the city of Plymouth, Devon."", ""6.5-acre | 6.5-acre, Drake's Island is a 6.5-acre (2.6-hectare) island lying in Plymouth Sound, the stretch of water south of the city of Plymouth, Devon. The rocks which make up the island are volcanic tuff and lava, together with marine limestone of the Devonian period., 6.5-acre (2.6-hectare)"", ""Visit Drake's Island | Size: 2.6 ha. Wild Factor: 8 out of 10. Visit Drake's Island This fortress island sits 500 metres away from the city of Plymouth in the Plymouth Sound and has ..."", ""Historic Visitor Attraction in Plymouth, Devon | Drake's Island | The Jewel in Plymouth Sound Step on to Drake's Island for one of the most unique and interesting guided tours in Plymouth and throughout the South West. Learn all about the history and the mysteries surrounding the island., Drake's Island"", 'Plymouth Sound | Plymouth Sound, or locally just The Sound, is a deep inlet or sound in the English Channel near Plymouth in England.']",The island present in Plymouth Sound is Drake's Island [1][3][5][6][7].,Drake's Island,"[""Drake's Island""]"
Which street has its third section between Eighth Avenue and Tenth Avenue?,"['List of numbered streets in Manhattan - Wikipedia | 13th Street is in three parts. The first runs from Avenue C to Avenue D. The second starts at a dead end, just before Avenue B, and runs to Greenwich Avenue, and the third part is from Eighth Avenue to Tenth Avenue., 13th Street', 'Tenth Avenue (Manhattan) | Tenth Avenue, known as Amsterdam Avenue between 59th Street and 193rd Street, is a north-south thoroughfare on the West Side of Manhattan in New York City.', 'Chapter 3 - Special Hudson Yards District (HY) | For the purpose of this Chapter, the ERY High Line shall refer to the portion of the High Line between the western street line of Tenth Avenue and the western ...']","Step 1: What is the name of the street with three parts in Manhattan?
Step 2: What are the boundaries of the third part of 13th Street in Manhattan?
Step 3: What are the street lines of Eighth Avenue and Tenth Avenue in Manhattan?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the street with three parts in Manhattan? ANSWER: 24th Street. Step 2: What are the boundaries of the third part of 13th Street in Manhattan?,What are the boundaries of the third part of 13th Street in Manhattan?,"['List of numbered streets in Manhattan - Wikipedia | 24th Street is in three parts. A small portion of 24th Street exists between First Avenue and East Midtown Plaza ending at a dead end before Second Avenue, a second portion is between East Midtown Plaza and Madison Avenue, ending because of Madison Square Park., 24th Street', 'List of Manhattan neighborhoods | List of Manhattan neighborhoods ; Upper Manhattan is the area above 96th Street. ; Midtown Manhattan is the area between 34th Street and 59th Street. ; Lower ...', 'List of numbered streets in Manhattan | 3rd Street, Avenue D · Bowery ; 4th Street, Avenue D · W 13th Street ; 5th Street, Avenue D · Cooper Square/Third Avenue ; 6th Street, FDR Drive, Cooper Square/Third ...', 'IND Eighth Avenue Line | The IND Eighth Avenue Line is a rapid transit line in New York City, United States, and is part of the B Division of the New York City Subway.', 'List of numbered streets in Manhattan - Wikipedia | 13th Street is in three parts. The first runs from Avenue C to Avenue D. The second starts at a dead end, just before Avenue B, and runs to Greenwich Avenue, and the third part is from Eighth Avenue to Tenth Avenue., 13th Street', 'Tenth Avenue (Manhattan) | Tenth Avenue, known as Amsterdam Avenue between 59th Street and 193rd Street, is a north-south thoroughfare on the West Side of Manhattan in New York City.', 'New York City Streets and Avenue Grid Explained | First, 5th Avenue divides Manhattan in half. West of 5th Ave is called the West Side and, not surprisingly, east of 5th is the East Side.']",13th Street is in three parts [5][6]. The third part is from Eighth Avenue to Tenth Avenue.,13th Street,['13th Street']
In what year was Whitehead born?,"['Alfred North Whitehead | British Mathematician, Philosopher ... | Alfred North Whitehead (born February 15, 1861, Ramsgate, Isle of Thanet, Kent, England—died December 30, 1947, Cambridge, Massachusetts, U.S.) English mathematician and philosopher who collaborated with Bertrand Russell on Principia Mathematica (1910–13) and, from the mid-1920s, taught at Harvard University and ..., February 15, 1861', 'Alfred North Whitehead | Alfred North Whitehead was born in Ramsgate, Kent, England, in 1861.', 'Alfred North Whitehead (1861 - 1947) - Biography | In 1914, after four years without a proper position, he became Professor of Applied Mathematics at the Imperial College of Science and Technology in London. He ...']","Step 1: What is Alfred North Whitehead's date of birth?
Step 2: Where was Alfred North Whitehead born?
Step 3: When did Alfred North Whitehead die?",Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: What is Alfred North Whitehead's date of birth? ANSWER: February 15, 1861. Step 2: Where was Alfred North Whitehead born?",Where was Alfred North Whitehead born?,"['Alfred North Whitehead/Date of birth | February 15, 1861, Alfred North Whitehead was born on February 15th, 1861 at Ramsgate in Kent, England, to Alfred and Maria Whitehead., February 15th, 1861', 'Alfred North Whitehead | Alfred North Whitehead OM FRS FBA (15 February 1861 – 30 December 1947) was an English mathematician and philosopher. He created the philosophical school ...', 'Alfred North Whitehead | Alfred North Whitehead OM FRS FBA (15 February 1861 – 30 December 1947) was an English mathematician and philosopher. He created the philosophical school ...', 'Alfred North Whitehead/Date of death | December 30, 1947, Alfred North Whitehead, (born Feb. 15, 1861, Ramsgate, Isle of Thanet, Kent, Eng. —died Dec. 30, 1947, Cambridge, Mass., U.S.), British mathematician and philosopher., Dec., 30, 1947', 'Alfred North Whitehead | Alfred North Whitehead OM FRS FBA (15 February 1861 – 30 December 1947) was an English mathematician and philosopher. He created the philosophical school ...', 'Alfred North Whitehead | British Mathematician, Philosopher ... | Alfred North Whitehead (born February 15, 1861, Ramsgate, Isle of Thanet, Kent, England—died December 30, 1947, Cambridge, Massachusetts, U.S.) English mathematician and philosopher who collaborated with Bertrand Russell on Principia Mathematica (1910–13) and, from the mid-1920s, taught at Harvard University and ..., February 15, 1861', 'Alfred North Whitehead | Alfred North Whitehead was born in Ramsgate, Kent, England, in 1861.']","He was born on February 15, 1861. [1][2][6][7].",1861,['1861']
Who was the founder of Three Worlds Theory?,"['Three Worlds Theory - Wikipedia | In the field of international relations, the Three Worlds Theory (simplified Chinese: 三个世界的理论; traditional Chinese: 三個世界的理論; pinyin: Sān gè Shìjiè de Lǐlùn) of Mao Zedong, first formulated by him in a conversation with Zambian President Kenneth Kaunda in February 1974, that the international system operated as three ...', 'The Theory of Three Worlds | Another source of the “three worlds” theory is Josip Broz Tito and the League of Communists of Yugoslavia. In 1948, Yugoslavia was thrown out of the Communist ...', ""The Three World Theory and Post-Mao China's Global ... | In his 1974 UN speech Deng Xiaoping declared that: 'history develops in struggle, and the world advances amidst turbulence . . . Countries want independ- ence, ...""]",Step 1: Who formulated the Three Worlds Theory? Step 2: When was the Three Worlds Theory first formulated? Step 3: What was the context in which the Three Worlds Theory was first formulated?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who formulated the Three Worlds Theory? ANSWER: Mao Zedong. Step 2: When was the Three Worlds Theory first formulated?,When was the Three Worlds Theory first formulated?,"['Three Worlds Theory - Wikipedia | In the field of international relations, the Three Worlds Theory (simplified Chinese: 三个世界的理论; traditional Chinese: 三個世界的理論; pinyin: Sān gè Shìjiè de Lǐlùn) of Mao Zedong, first formulated by him in a conversation with Zambian President Kenneth Kaunda in February 1974, that the international system operated as three ...', 'The Theory of Three Worlds | Another source of the “three worlds” theory is Josip Broz Tito and the League of Communists of Yugoslavia. In 1948, Yugoslavia was thrown out of the Communist ...', 'Three Worlds Theory - Wikipedia | In the field of international relations, the Three Worlds Theory (simplified Chinese: 三个世界的理论; traditional Chinese: 三個世界的理論; pinyin: Sān gè Shìjiè de Lǐlùn) of Mao Zedong, first formulated by him in a conversation with Zambian President Kenneth Kaunda in February 1974, that the international system operated as three ...', 'The Theory of Three Worlds | Today, the theory of the three worlds emphasizes the unity of the existing regimes in the “third world,” instead of the revolutions in these countries. Its ...', 'Three Worlds Theory - Wikipedia | In the field of international relations, the Three Worlds Theory (simplified Chinese: 三个世界的理论; traditional Chinese: 三個世界的理論; pinyin: Sān gè Shìjiè de Lǐlùn) of Mao Zedong, first formulated by him in a conversation with Zambian President Kenneth Kaunda in February 1974, that the international system operated as three ...', 'The Theory of Three Worlds | Today, the theory of the three worlds emphasizes the unity of the existing regimes in the “third world,” instead of the revolutions in these countries. Its ...', 'Three Worlds Theory - Wikipedia | In the field of international relations, the Three Worlds Theory (simplified Chinese: 三个世界的理论; traditional Chinese: 三個世界的理論; pinyin: Sān gè Shìjiè de Lǐlùn) of Mao Zedong, first formulated by him in a conversation with Zambian President Kenneth Kaunda in February 1974, that the international system operated as three ...']",The founder of the Three Worlds Theory was Mao Zedong [1][3][5][7].,Mao Zedong,['Mao Zedong']
"Which edict freed slaves across most of the Confederacy, but technically not Tennessee?","['The Emancipation Proclamation | Although the Emancipation Proclamation did not end slavery in the ... From the first days of the Civil War, slaves had acted to secure their own ...', ""The Emancipation Proclamation in Tennessee | Many enslaved men and women in Confederate states, separated from the Union Army, remained in slavery until the war's end and the ratification ..."", 'Emancipation Proclamation (1863) | Even though sectional conflicts over slavery had been a major cause of the war, ending slavery was not a goal of the war. ... Civil War, enslaved ...']",Step 1: What was the name of the edict that freed slaves across most of the Confederacy? Step 2: Did the edict technically free slaves in Tennessee? Step 3: What was the impact of the Emancipation Proclamation on slavery in Tennessee?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What was the name of the edict that freed slaves across most of the Confederacy? ANSWER: The Emancipation Proclamation. Step 2: Did the edict technically free slaves in Tennessee?,Did the Emancipation Proclamation technically free slaves in Tennessee?,"['The Emancipation Proclamation - National Archives | | President Abraham Lincoln issued the Emancipation Proclamation on January 1, 1863, as the nation approached its third year of bloody civil war. The proclamation declared ""that all persons held as slaves"" within the rebellious states ""are, and henceforward shall be free.""', 'Emancipation Proclamation (1863) | ... slaves"" within the rebellious areas ""are, and henceforward shall be free. ... As a milestone along the road to slavery\'s final destruction, the ...', ""Andrew Johnson and Emancipation in Tennessee | On January 1, 1863, Abraham Lincoln's Emancipation Proclamation freed slaves in states still in rebellion against the United States. Tennessee, although a seceded state, did not fall under the provisions of the proclamation. Tennessee was under Union control, and Andrew Johnson was serving as Military Governor., Tennessee, although a seceded state, did not fall under the provisions of the proclamation"", 'The Emancipation Proclamation in Tennessee | Johnson and the Union government had even payed Unionist slave owners in Tennessee if their slaves worked on military projects. This meant that ...', ""The Emancipation Proclamation in Tennessee | President Lincoln's Emancipation Proclamation did not free enslaved persons in Tennessee or in any other state of the Union or the Confederate States of America., did not free enslaved persons in Tennessee or in any other state of the Union or the Confederate States of America"", 'Andrew Johnson and Emancipation in Tennessee | He was a slave owner who was a product of his time, but he was also at one time a man called a ""Moses"" for the freedom of slaves in Tennessee.', 'The Emancipation Proclamation | Although the Emancipation Proclamation did not end slavery in the ... From the first days of the Civil War, slaves had acted to secure their own ...']","The Emancipation Proclamation freed slaves across most of the Confederacy, but technically not Tennessee [1][3][5].",The Emancipation Proclamation,['Emancipation Proclamation']
Which major conflict that included the Battle of New Orleans is said to have given Tennessee its nickname?,"[""Tennessee Group Recognized for Commemorating 'Forgotten ... | Tennessee Group Recognized for Commemorating 'Forgotten Conflict' Historians sometimes refer to the War of 1812 as 'the Forgotten Conflict., War of 1812"", 'Battle of New Orleans: War of 1812 & Andrew Jackson | Nicknamed “Old Hickory” for his legendary toughness, Jackson had spent the last year subduing hostile Creek Indians in Alabama and harassing the ...', 'The War of 1812 and Indian Wars - A Salute to Tennessee ... | Referred to as the ""forgotten conflict,"" the War of 1812 has been one of the least commemorated wars in American history. This lack of appreciation is due, ...']",Step 1: What is the nickname of Andrew Jackson? Step 2: What major conflict did Andrew Jackson participate in? Step 3: What is the significance of the Battle of New Orleans in Tennessee's history?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the nickname of Andrew Jackson? ANSWER: Old Hickory. Step 2: What major conflict did Andrew Jackson participate in?,What major conflict did Andrew Jackson participate in?,"['Andrew “Old Hickory” | Andrew “Old Hickory”, Andrew “Old Hickory” Jackson (1767-1845) was the seventh president of the United States. He earned the nickname, which refers to this strength and stubbornness, from his troops after crushing the British at the Battle of New Orleans during the War of 1812., Old Hickory', 'Andrew Jackson Gains His Nicknames - Natchez Trace ... | The Creek, however, came to call Jackson by a different name. In 1812, the Creek Nation was split in two. The Red Stick faction believed that the best way to ...', ""Andrew Jackson's conflicted history on North-South relations | And there are two important events in that era, between 1829 and 1837, that showed Jackson conflicting views on states' rights, slavery, and ..."", 'New Orleans Battle Facts and Summary | The United States achieved its greatest land victory of the War of 1812 at New Orleans. The battle thwarted a British effort to gain control of a critical.', ""Tennessee Group Recognized for Commemorating 'Forgotten ... | Tennessee Group Recognized for Commemorating 'Forgotten Conflict' Historians sometimes refer to the War of 1812 as 'the Forgotten Conflict., War of 1812"", 'Battle of New Orleans: War of 1812 & Andrew Jackson | Nicknamed “Old Hickory” for his legendary toughness, Jackson had spent the last year subduing hostile Creek Indians in Alabama and harassing the ...', 'Freedom: A History of US. Biography. Andrew Jackson | PBS | Jackson became a national folk hero during the war of 1812 and won his nickname, ""Old Hickory"". That nicknamed served him well and became his slogan when he ran ...']",The major conflict that included the Battle of New Orleans is the War of 1812 [4][5].,War of 1812,['War of 1812']
By what nickname is Tennessee officially known?,"['Tennessee/Nickname | The Volunteer State, Tennessee. ""The Volunteer State"" has been a Tennessee nickname since the 19th century but wasn\'t officially voted on until February 2020. Tennessee sent 1,500 volunteer soldiers during the War of 1812, and the nickname stuck., The Volunteer State', ""Why is Tennessee the Volunteer State? Learn the Story ... | The lecture will explore how over the course of several decades, Tennessee earned the Volunteer State nickname because of Tennessean's eagerness to step forward ..."", 'Tennessee State Nickname | The Volunteer State | Tennessee\'s most popular nickname is ""The Volunteer State,"" earned during the War of 1812; Tennessee and Tennesseans have several nicknames.']","Step 1: What is the official nickname of Tennessee? Step 2: When was the official nickname of Tennessee voted on? Step 3: What is the history behind the nickname ""The Volunteer State""?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the official nickname of Tennessee? ANSWER: The Volunteer State. Step 2: When was the official nickname of Tennessee voted on?,When was the official nickname of Tennessee voted on?,"[""Tennessee/Nickname | The Volunteer State, The lecture will explore how over the course of several decades, Tennessee earned the Volunteer State nickname because of Tennessean's eagerness to step forward to serve in times of war., Volunteer State"", 'Tennessee State Nickname | The Volunteer State | Tennessee\'s most popular nickname is ""The Volunteer State,"" earned during the War of 1812; Tennessee and Tennesseans have several nicknames.', ""Tennessee adopts 'The Volunteer State' as official nickname | Tennessee first became known as “The Volunteer State” during the War of 1812 due to its prominent role in sending 1,500 volunteer soldiers. However, despite the popularity of the nickname, the resolution's sponsors say it was never officially adopted into Tennessee's statutes., it was never officially adopted into Tennessee's statutes"", ""Why is Tennessee the Volunteer State? Learn the Story ... | The lecture will explore how over the course of several decades, Tennessee earned the Volunteer State nickname because of Tennessean's eagerness to step forward ..."", ""First Called Volunteers - The University of Tennessee, Knoxville | The state of Tennessee had become known as the Volunteer State when a large number of volunteers fought in the War of 1812. By the start of the Mexican-American War in 1846, 30,000 Tennessee volunteers responded to the secretary of war's call for 2,800, clinching the state's nickname., when a large number of volunteers fought in the War of 1812"", 'Volunteer State - Tennessee Historical ... | Tennessee became known as the “Volunteer State” during the War of 1812 due to the key role played by volunteers from the Tennessee militia.', 'Tennessee/Nickname | The Volunteer State, Tennessee. ""The Volunteer State"" has been a Tennessee nickname since the 19th century but wasn\'t officially voted on until February 2020. Tennessee sent 1,500 volunteer soldiers during the War of 1812, and the nickname stuck., The Volunteer State']","Tennessee is officially known as ""The Volunteer State"" [2][3][5][6][7].",The Volunteer State,['Volunteer State']
Who outlined the four main views of Baptist origins?,"[""English Dissenters - Wikipedia | Baptist historian Bruce Gourley outlines four main views of Baptist origins: The modern scholarly consensus that the movement traces its origin to the 17th century via the English Separatists. The view that it was an outgrowth of the Anabaptist movement of believer's baptism begun in 1525 on the European continent., Bruce Gourley"", 'Baptists | Origins. Baptist historian Bruce Gourley outlines four main views of Baptist origins: the modern scholarly consensus that the movement traces its origin to the ...', 'Four Views of Baptist Origin | Leon McBeth cites four views pertaining to the sources of Baptist origin: (1) the outgrowth of English Separatism, (2) the influence of ...']",Step 1: Who is the Baptist historian who outlined the four main views of Baptist origins? Step 2: What are the four main views of Baptist origins outlined by Bruce Gourley?,Step 2 depends on Step 1.,Step 1: Who is the Baptist historian who outlined the four main views of Baptist origins? ANSWER: Bruce Gourley. Step 2: What are the four main views of Baptist origins outlined by Bruce Gourley?,What are the four main views of Baptist origins outlined by Bruce Gourley?,"['Baptists | Origins. Baptist historian Bruce Gourley outlines four main views of Baptist origins: the modern scholarly consensus that the movement traces its origin to the ...', 'Baptists | A Walk To Remember Wiki - Fandom | Baptist Historian Bruce Gourley outlines four main views of Baptist origins: (1) The modern scholarly consensus that the movement traces its origin to the 17th century via the English Separatists, (2) the view that it was an outgrowth of Anabaptist traditions, (3) the perpetuity view which assumes that the Baptist ...', 'Baptists | Origins. Baptist historian Bruce Gourley outlines four main views of Baptist origins: the modern scholarly consensus that the movement traces its origin to the ...', ""English Dissenters - Wikipedia | Baptist historian Bruce Gourley outlines four main views of Baptist origins: The modern scholarly consensus that the movement traces its origin to the 17th century via the English Separatists. The view that it was an outgrowth of the Anabaptist movement of believer's baptism begun in 1525 on the European continent., Bruce Gourley"", 'Baptists | Origins. Baptist historian Bruce Gourley outlines four main views of Baptist origins: the modern scholarly consensus that the movement traces its origin to the ...', 'Four Views of Baptist Origins | Four Views of Baptist Origins · The Outgrowth of English Separatism · The Influence of Biblical Anabaptists · The Continuation of Biblical ...', 'The Baptist Index by Bruce Gourley | Baptist beliefs, it must be noted, are diverse, although a core set of beliefs (including Christ-centric faith; freedom of conscience; full religious ...']",Baptist historian Bruce Gourley outlined the four main views of Baptist origins [1][2][3][4][5][7].,Bruce Gourley,['Bruce Gourley']
